icao,type,mhz

RPLL,ATIS,126.400
RPLL,CLR,125.100
RPLL,CLR,125.500
RPLL,GND,121.800
RPLL,GND,122.000
RPLL,RMP,121.350
RPLL,RMP,121.550
RPLL,RMP,121.600
RPLL,RMP,121.700
RPLL,RMP,122.450
RPLL,RMP,123.250
RPLL,RMP,123.650
RPLL,RMP,128.800
RPLL,TWR,118.100
RPLL,TWR,118.400
RPLL,APP,119.700
RPLL,APP,124.400
RPLL,APP,127.700
RPLL,DEP,119.900
RPLL,DEP,121.100
RPLL,DEP,124.800
RPLL,RADIO,124.000
RPLL,RADIO,124.900
RPLL,RADIO,127.100

LFPG,ATIS,127.130
LFPG,ATIS,128.230
LFPG,CLR,121.730
LFPG,CLR,121.840
LFPG,GND,121.610
LFPG,GND,121.780
LFPG,GND,121.810
LFPG,GND,121.980
LFPG,RMP,121.580
LFPG,RMP,121.640
LFPG,RMP,121.680
LFPG,RMP,121.880
LFPG,RMP,121.930
LFPG,TWR,118.650
LFPG,TWR,119.250
LFPG,TWR,119.630
LFPG,TWR,120.650
LFPG,TWR,120.900
LFPG,TWR,123.600
LFPG,TWR,125.330
LFPG,APP,118.150
LFPG,APP,119.850
LFPG,APP,121.150
LFPG,APP,124.350
LFPG,APP,125.830
LFPG,APP,126.430
LFPG,APP,126.570
LFPG,APP,131.200
LFPG,APP,133.380
LFPG,APP,136.270

EGLL,ATIS,121.930
EGLL,ATIS,128.080
EGLL,CLR,121.980
EGLL,GND,121.700
EGLL,GND,121.850
EGLL,GND,121.900
EGLL,TWR,118.500
EGLL,TWR,118.700
EGLL,TWR,124.470
EGLL,APP,119.730
EGLL,APP,120.400
EGLL,APP,125.620
EGLL,APP,127.520
EGLL,APP,134.980

EHAM,ATIS,122.200
EHAM,ATIS,132.980
EHAM,CLR,121.980
EHAM,GND,121.560
EHAM,GND,121.590
EHAM,GND,121.700
EHAM,GND,121.800
EHAM,GND,121.900
EHAM,TWR,118.100
EHAM,TWR,118.280
EHAM,TWR,119.230
EHAM,TWR,135.110
EHAM,APP,118.080
EHAM,APP,118.400
EHAM,APP,119.050
EHAM,APP,121.200
EHAM,APP,126.680
EHAM,APP,131.150
EHAM,RADIO,131.350

EDDF,ATIS,118.030
EDDF,ATIS,118.730
EDDF,CLR,121.900
EDDF,GND,121.800
EDDF,RMP,121.650
EDDF,RMP,121.700
EDDF,RMP,121.750
EDDF,RMP,121.850
EDDF,RMP,121.950
EDDF,RMP,121.960
EDDF,TWR,118.780
EDDF,TWR,119.900
EDDF,TWR,124.850
